Season,Team,RB_RBR
2023,Lions,0.36376884889945654
2023,Packers,0.5257922399196364
2023,Panthers,0.28451824171451956
2023,Patriots,0.5413464539514156
2023,Raiders,0.30753598118647896
2023,Rams,0.3286801212459543
2023,Ravens,0.16601862463876924
2023,Saints,0.5505634439506399
2023,Seahawks,0.2253766706036528
2023,Steelers,0.29782180243479806
2023,Texans,0.31254134439870884
2023,Titans,0.2817192202210016
2023,Vikings,0.48078161344961523
2024,49ers,0.4665072491087474
2024,Bears,0.2535456785018284
2024,Bengals,0.1669451760605349
2024,Bills,0.17996936666232843
2024,Broncos,0.4782976375512399
2024,Browns,0.40238664118717415
2024,Buccaneers,0.19874660932066196
2024,Cardinals,0.29775592450146904
2024,Chargers,0.4479230403075946
2024,Chiefs,0.49755374757087467
2024,Colts,0.10302145639681973
2024,Commanders,0.48245596030758003
2024,Cowboys,0.33833849102560526
2024,Dolphins,0.5705343914186137
2024,Eagles,0.2698066223052772
2024,Falcons,0.3079211356953621
2024,Giants,0.48270327969932325
2024,Jaguars,0.5263181576922826
2024,Jets,0.17130943582687816
2024,Lions,0.41752436374524815
2024,Packers,0.15637578889227427
2024,Panthers,0.11363477661545505
2024,Patriots,0.6565212246339911
2024,Raiders,0.5136825574984893
2024,Rams,0.2613826928529003
2024,Ravens,0.13587175580673375
2024,Saints,0.10568741826511324
2024,Seahawks,0.4696059666525499
2024,Steelers,0.16211104088000186
2024,Texans,0.4477118711095437
2024,Titans,0.1834495092236124
2024,Vikings,0.3342039037149395
2025,49ers,0.37680818160559015
2025,Bears,0.6184322199675324
2025,Bengals,0.10100779609611944
2025,Bills,0.43208776319703895
2025,Broncos,0.544295992524917
2025,Browns,0.11180851054045104
2025,Buccaneers,0.43716850486197223
2025,Cardinals,0.3371582625422523
2025,Chargers,0.3345289585066744
2025,Chiefs,0.37627251951917134
2025,Colts,0.06854898750699086
2025,Commanders,0.4825638386975344
2025,Cowboys,0.06105673822748382
2025,Dolphins,0.12400402837902838
2025,Eagles,0.15888697104153696
2025,Falcons,0.306690627506463
2025,Giants,0.405324039912108
2025,Jaguars,0.09448609466940566
2025,Jets,0.33913476404753107
2025,Lions,0.38826004190670566
2025,Packers,0.16269688698607093
2025,Panthers,0.16846555618294753
2025,Patriots,0.42352970647950444
2025,Raiders,0.04690973381694424
2025,Rams,0.2509946178533067
2025,Ravens,0.1970680333116053
2025,Saints,0.3597877867965368
2025,Seahawks,0.5850958864597817
2025,Steelers,0.49699058165630405
2025,Texans,0.5358401726719395
2025,Titans,0.34520776546991655
2025,Vikings,0.49005822040278574
