Rk,Player,Age,Team,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards,Player-additional
1,Matthew Stafford,37,LAR,QB,17,17,12-5-0,388,597,65.0,4707,46,7.7,8,1.3,236,54.4,88,7.9,8.82,12.1,276.9,109.2,71.1,23,150,3.71,7.35,8.25,1,1,PBAP-1,StafMa00
2,Jared Goff,31,DET,QB,17,17,9-8-0,393,578,68.0,4564,34,5.9,8,1.4,223,48.7,64,7.9,8.45,11.6,268.5,105.5,57.7,38,259,6.17,6.99,7.51,1,3,,GoffJa00
3,Dak Prescott,32,DAL,QB,17,17,7-9-1,404,600,67.3,4552,30,5.0,10,1.7,220,48.2,86,7.6,7.84,11.3,267.8,99.5,70.4,31,208,4.91,6.88,7.12,4,3,PB,PresDa01
4,Drake Maye,23,NWE,QB,17,17,14-3-0,354,492,72.0,4394,31,6.3,8,1.6,203,54.7,72,8.9,9.46,12.4,258.5,113.5,77.2,47,201,8.72,7.78,8.26,1,2,PBAP-2,MayeDr00
5,Sam Darnold,28,SEA,QB,17,17,14-3-0,323,477,67.7,4048,25,5.2,14,2.9,178,50.0,67,8.5,8.21,12.5,238.1,99.1,56.3,27,186,5.36,7.66,7.40,2,4,PB,DarnSa00
6,Trevor Lawrence,26,JAX,QB,17,17,13-4-0,341,560,60.9,4007,29,5.2,12,2.1,194,45.8,63,7.2,7.23,11.8,235.7,91.0,58.5,41,247,6.82,6.26,6.32,3,5,,LawrTr00
7,Caleb Williams,24,CHI,QB,17,17,11-6-0,330,568,58.1,3942,27,4.8,7,1.2,187,42.9,65,6.9,7.34,11.9,231.9,90.1,58.4,24,165,4.05,6.38,6.76,6,6,,WillCa03
8,Bo Nix,25,DEN,QB,17,17,14-3-0,388,612,63.4,3931,25,4.1,11,1.8,196,45.6,52,6.4,6.43,10.1,231.2,87.8,58.4,22,119,3.47,6.01,6.02,5,7,,NixxBo00
9,Justin Herbert,27,LAC,QB,16,16,11-5-0,340,512,66.4,3727,26,5.1,13,2.5,175,47.2,60,7.3,7.15,11.0,232.9,94.1,60.8,54,301,9.54,6.05,5.94,3,3,PB,HerbJu00
10,Baker Mayfield,30,TAM,QB,17,17,8-9-0,343,543,63.2,3693,26,4.8,11,2.0,172,42.5,77,6.8,6.85,10.8,217.2,90.6,61.1,36,234,6.22,5.97,6.02,4,4,,MayfBa00
11,Josh Allen,29,BUF,QB,17,17,12-5-0,319,460,69.3,3668,25,5.4,10,2.2,177,48.2,54,8.0,8.08,11.5,215.8,102.2,65.0,40,298,8.00,6.74,6.84,4,4,PB,AlleJo02
12,Patrick Mahomes,30,KAN,QB,14,14,6-8-0,315,502,62.7,3587,22,4.4,11,2.2,173,47.9,61,7.1,7.04,11.4,256.2,89.6,68.7,34,193,6.34,6.33,6.23,1,1,,MahoPa00
13,Jordan Love,27,GNB,QB,15,15,9-5-1,291,439,66.3,3381,23,5.2,6,1.4,159,50.2,59,7.7,8.13,11.6,225.4,101.2,72.9,21,169,4.57,6.98,7.40,4,4,,LoveJo03
14,Jacoby Brissett,33,ARI,QB,14,12,1-11-0,315,485,64.9,3366,23,4.7,8,1.6,165,45.8,50,6.9,7.15,10.7,240.4,94.1,41.7,43,288,8.14,5.83,6.02,0,0,,BrisJa00
15,Aaron Rodgers,42,PIT,QB,16,16,10-6-0,327,498,65.7,3322,24,4.8,7,1.4,143,42.9,80,6.7,7.00,10.2,207.6,94.8,44.3,29,180,5.50,5.96,6.28,2,3,,RodgAa00
16,Jalen Hurts,27,PHI,QB,16,16,11-5-0,294,454,64.8,3224,25,5.5,6,1.3,150,43.2,79,7.1,7.61,11.0,201.5,98.5,55.7,32,181,6.58,6.26,6.73,1,1,,HurtJa00
17,Cam Ward,23,TEN,QB,17,17,3-14-0,323,540,59.8,3169,15,2.8,7,1.3,153,38.2,47,5.9,5.84,9.8,186.4,80.2,33.2,55,410,9.24,4.64,4.61,1,1,,WardCa00
18,Daniel Jones,28,IND,QB,13,13,8-5-0,261,384,68.0,3101,19,4.9,8,2.1,149,52.0,75,8.1,8.13,11.9,238.5,100.2,63.5,22,158,5.42,7.25,7.30,3,3,,JoneDa05
19,C.J. Stroud,24,HOU,QB,14,14,9-5-0,273,423,64.5,3041,19,4.5,8,1.9,136,44.4,75,7.2,7.24,11.1,217.2,92.9,62.0,23,189,5.16,6.39,6.44,0,2,,StroCJ00
20,Geno Smith,35,LVR,QB,15,15,2-13-0,302,448,67.4,3025,19,4.2,17,3.8,148,45.3,61,6.8,5.89,10.0,201.7,84.7,34.0,55,405,10.93,5.21,4.44,0,0,,SmitGe00
21,Bryce Young,24,CAR,QB,16,16,8-8-0,304,478,63.6,3011,23,4.8,11,2.3,153,44.2,54,6.3,6.23,9.9,188.2,87.8,47.7,27,202,5.35,5.56,5.49,4,6,,YounBr01
22,Tua Tagovailoa,27,MIA,QB,14,14,6-8-0,260,384,67.7,2660,20,5.2,15,3.9,142,46.4,47,6.9,6.21,10.2,190.0,88.5,37.3,30,195,7.25,5.95,5.29,1,1,,TagoTu00
23,Lamar Jackson,28,BAL,QB,13,13,6-7-0,192,302,63.6,2549,21,7.0,7,2.3,109,46.2,64,8.4,8.79,13.3,196.1,103.8,62.8,36,239,10.65,6.83,7.14,1,1,,JackLa00
