 
,,,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,,,-additional
Rk,Player,Age,Team,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Fmb,Awards,-9999
112,Tom Brady,45,TAM,QB,17,17,29,-1,1,5,17.2,2,0.0,-0.1,1.7,5,,BradTo00
113,Jared Goff,28,DET,QB,17,17,29,73,0,5,24.1,14,2.5,4.3,1.7,7,PBAP CPoY-6,GoffJa00
114,Taylor Heinicke,29,WAS,QB,9,9,28,96,1,6,46.4,15,3.4,10.7,3.1,7,,HeinTa00
115,Zach Wilson,23,NYJ,QB,9,9,28,102,1,7,42.9,18,3.6,11.3,3.1,1,,WilsZa00
116,Keaontay Ingram,23,ARI,RB,12,0,27,60,1,4,25.9,13,2.2,5.0,2.3,0,,IngrKe01
117,Matt Ryan,37,IND,QB,12,12,27,70,1,9,37.0,39,2.6,5.8,2.3,15,,RyanMa00
118,Malik Willis,23,TEN,QB,8,3,27,123,1,8,44.4,17,4.6,15.4,3.4,3,,WillMa12
119,Rex Burkhead,32,HOU,RB,16,0,26,80,0,4,53.8,9,3.1,5.0,1.6,0,,BurkRe00
120,Sam Darnold,25,CAR,QB,6,6,26,106,2,10,38.5,26,4.1,17.7,4.3,6,,DarnSa00
121,Hassan Haskins,23,TEN,RB,15,1,25,93,0,5,44.0,12,3.7,6.2,1.7,0,,HaskHa00
122,Mike Boone,27,DEN,RB,9,0,24,102,0,6,33.3,18,4.3,11.3,2.7,0,,BoonMi00
123,Derek Carr,31,LVR,QB,15,15,24,102,0,10,50.0,20,4.3,6.8,1.6,4,PB,CarrDe02
124,Trestan Ebner,23,CHI,RB,17,0,24,54,0,2,33.3,11,2.3,3.2,1.4,2,,EbneTr00
125,Nyheim Hines,26,2TM,RB,16,5,24,33,1,2,20.8,9,1.4,2.1,1.5,2,,HineNy00
125,Nyheim Hines,26,IND,RB,7,4,18,36,1,2,22.2,9,2.0,5.1,2.6,1,,HineNy00
125,Nyheim Hines,26,BUF,RB,9,1,6,-3,0,0,16.7,3,-0.5,-0.3,0.7,1,,HineNy00
126,Raheem Blackshear,23,CAR,RB,13,1,23,77,3,7,47.8,16,3.3,5.9,1.8,1,,BlacRa00
127,Jimmy Garoppolo,31,SFO,QB,11,10,23,33,2,12,47.8,6,1.4,3.0,2.1,3,,GaroJi00
128,Craig Reynolds,26,DET,RB,9,0,23,102,0,4,39.1,21,4.4,11.3,2.6,0,,ReynCr00
129,Tua Tagovailoa,24,MIA,QB,13,13,23,70,0,4,34.8,18,3.0,5.4,1.8,6,AP MVP-9,TagoTu00
130,Dontrell Hilliard,27,TEN,RB,12,1,22,145,0,4,45.5,30,6.6,12.1,1.8,0,,HillDo00
131,J.D. McKissic,29,WAS,RB,8,0,22,95,0,5,40.9,33,4.3,11.9,2.8,0,,McKiJ.00
132,Brock Purdy,23,SFO,QB,9,5,22,13,1,5,27.3,13,0.6,1.4,2.4,0,AP ORoY-3,PurdBr00
133,Carson Wentz,30,WAS,QB,8,7,22,86,1,4,50.0,18,3.9,10.8,2.8,6,,WentCa00
134,Avery Williams,24,ATL,RB,17,3,22,109,1,6,45.5,21,5.0,6.4,1.3,1,,WillAv02
135,Darrel Williams,27,ARI,RB,6,0,21,102,1,8,57.1,30,4.9,17.0,3.5,0,,WillDa10
136,Jeff Driskel,29,HOU,QB,7,2,20,75,0,4,45.0,10,3.8,10.7,2.9,0,,DrisJe00
137,Benny Snell Jr.,24,PIT,RB,17,0,20,90,1,6,70.0,16,4.5,5.3,1.2,0,,SnelBe00
138,Travis Homer,24,SEA,RB,10,1,19,74,0,4,47.4,16,3.9,7.4,1.9,1,,HomeTr00
139,Bryce Perkins,26,LAR,QB,5,1,19,90,0,6,42.1,23,4.7,18.0,3.8,0,,PerkBr02
140,Mitchell Trubisky,28,PIT,QB,7,5,19,38,2,7,52.6,9,2.0,5.4,2.7,0,,TrubMi00
141,Malcolm Brown,29,LAR,RB,11,0,18,81,1,3,33.3,23,4.5,7.4,1.6,0,,BrowMa03
142,Kevin Harris,22,NWE,RB,5,1,18,52,1,3,33.3,14,2.9,10.4,3.6,0,,HarrKe01
143,Isaiah Spiller,21,LAC,RB,6,0,18,41,0,2,22.2,11,2.3,6.8,3.0,0,,SpilIs00
144,Brandon Bolden,32,LVR,RB,16,0,17,66,0,3,35.3,12,3.9,4.1,1.1,0,,BoldBr00
145,Sam Ehlinger,24,IND,QB,4,3,17,87,0,5,52.9,19,5.1,21.8,4.3,2,,EhliSa00
146,Ronald Jones II,25,KAN,RB,6,0,17,70,1,4,52.9,13,4.1,11.7,2.8,0,,JoneRo01
147,Jaret Patterson,23,WAS,RB,3,0,17,78,0,3,47.1,14,4.6,26.0,5.7,0,,PattJa01
148,Brandon Powell,27,LAR,WR,17,6,17,80,0,6,47.1,20,4.7,4.7,1.0,1,,PoweBr00
149,Ke'Shawn Vaughn,25,TAM,RB,15,0,17,53,0,3,52.9,12,3.1,3.5,1.1,0,,VaugKe00
150,Zamir White,23,LVR,RB,14,0,17,70,0,4,41.2,22,4.1,5.0,1.2,0,,WhitZa01
151,Trey Lance,22,SFO,QB,2,2,16,67,0,7,56.3,13,4.2,33.5,8.0,1,,LancTr00
